7.2.0.006,8.0.0,Transition notes
VSWatertoAirHP Load Side Total Cooling Energy,Cooling Coil Total Cooling Energy,
VSWatertoAirHP Load Side Total Heat Transfer Rate,Cooling Coil Total Cooling Rate,
VSWatertoAirHP Load Side Total Heat Transfer Rate,Heating Coil Heating Rate,
VSWatertoAirHP Load Side Total Heating Energy,Heating Coil Heating Energy,
VSWatertoAirHP Part Load Ratio,Cooling Coil Part Load Ratio,
VSWatertoAirHP Part Load Ratio,Heating Coil Part Load Ratio,
VSWatertoAirHP Power,Cooling Coil Electric Power,
VSWatertoAirHP Power,Heating Coil Electric Power,
VSWatertoAirHP Recoverable Waste Heat,Cooling Coil Recoverable Heat Transfer Rate,
VSWatertoAirHP Recoverable Waste Heat,Heating Coil Recoverable Heat Transfer Rate,
VSWatertoAirHP Run Time Fraction,Cooling Coil Runtime Fraction,
VSWatertoAirHP Run Time Fraction,Heating Coil Runtime Fraction,
VSWatertoAirHP Source Side Cooling Energy,Cooling Coil Source Side Heat Transfer Energy,
VSWatertoAirHP Source Side Heat Transfer Rate,Cooling Coil Source Side Heat Transfer Rate,
VSWatertoAirHP Source Side Heat Transfer Rate,Heating Coil Source Side Heat Transfer Rate,
VSWatertoAirHP Source Side Heating Energy,Heating Coil Source Side Heat Transfer Energy,
VSWatertoAirHP Source Side Inlet Temperature,Cooling Coil Source Side Inlet Temperature,
VSWatertoAirHP Source Side Inlet Temperature,Heating Coil Source Side Inlet Temperature,
VSWatertoAirHP Source Side Outlet Temperature,Cooling Coil Source Side Outlet Temperature,
VSWatertoAirHP Source Side Outlet Temperature,Heating Coil Source Side Outlet Temperature,
VSWatertoAirHP Speed Ratio between Two Neighboring Speeds,Cooling Coil Neighboring Speed Levels Ratio,
VSWatertoAirHP Speed Ratio between Two Neighboring Speeds,Heating Coil Neighboring Speed Levels Ratio,
VSWatertoAirHP Upper Speed Level,Cooling Coil Upper Speed Level,
VSWatertoAirHP Upper Speed Level,Heating Coil Upper Speed Level,
VSWatertoAirHP Water Mass Flow Rate,Cooling Coil Source Side Mass Flow Rate,
VSWatertoAirHP Water Mass Flow Rate,Heating Coil Source Side Mass Flow Rate,
Walk In Defrost Electric Consumption,Refrigeration Walk In Defrost Electric Energy,
Walk In Defrost Electric Power,Refrigeration Walk In Defrost Electric Power,
Walk In Evaporator Total Heat Transfer Energy,Refrigeration Walk In Evaporator Total Cooling Energy,
Walk In Evaporator Total Heat Transfer Rate,Refrigeration Walk In Evaporator Total Cooling Rate,
Walk In Fans Electric Consumption,Refrigeration Walk In Fan Electric Energy,
Walk In Fans Electric Power,Refrigeration Walk In Fan Electric Power,
Walk In Heaters Electric Consumption,Refrigeration Walk In Heater Electric Energy,
Walk In Heaters Electric Power,Refrigeration Walk In Heater Electric Power,
Walk In Lighting Electric Consumption,Refrigeration Walk In Lighting Electric Energy,
Walk In Lighting Electric Power,Refrigeration Walk In Lighting Electric Power,
Walk In Total Auxiliary Electric Consumption,Refrigeration Walk In Ancillary Electric Energy,
Walk In Total Auxiliary Electric Power,Refrigeration Walk In Ancillary Electric Power,
Walk In Total Latent Heat Transfer Energy,Refrigeration Walk In Evaporator Latent Cooling Energy,
Walk In Total Latent Heat Transfer Rate,Refrigeration Walk In Evaporator Latent Cooling Rate,
Walk In Total Sensible Heat Transfer Energy,Refrigeration Walk In Evaporator Sensible Cooling Energy,
Walk In Total Sensible Heat Transfer Rate,Refrigeration Walk In Evaporator Sensible Cooling Rate,
Water Consumption From Coal,Environmental Impact Coal Water Consumption Volume,
Water Consumption From Diesel,Environmental Impact Diesel Water Consumption Volume,
Water Consumption From Electricity,Environmental Impact Electricity Water Consumption Volume,
Water Consumption From Fuel Oil #1,Environmental Impact Fuel Oil #1 Water Consumption Volume,
Water Consumption From Fuel Oil #2,Environmental Impact Fuel Oil #2 Water Consumption Volume,
Water Consumption From Gasoline,Environmental Impact Gasoline Water Consumption Volume,
Water Consumption From Natural Gas,Environmental Impact Natural Gas Water Consumption Volume,
Water Consumption From Propane,Environmental Impact Propane Water Consumption Volume,
Water Cooling Coil Chilled Water Consumption,Cooling Coil Source Side Heat Transfer Energy,
Water Heater Coal Consumption,Water Heater Coal Energy,
Water Heater Coal Consumption Rate,Water Heater Coal Rate,
Water Heater Cycle On Count 1,Water Heater Heater 1 Cycle On Count,
Water Heater Cycle On Count 2,Water Heater Heater 2 Cycle On Count ,
Water Heater Diesel Consumption,Water Heater Diesel Energy,
Water Heater Diesel Consumption Rate,Water Heater Diesel Rate,
Water Heater DistrictHeating Consumption,Water Heater District Heating Energy,
Water Heater DistrictHeating Consumption Rate,Water Heater District Heating Rate,
Water Heater Electric Consumption,Water Heater Electric Energy,
Water Heater Electric Consumption Rate,Water Heater Electric Power,
Water Heater Final Node 1 Temperature,Water Heater Final Temperature Node 1,
Water Heater Final Node 10 Temperature,Water Heater Final Temperature Node 10,
Water Heater Final Node 2 Temperature,Water Heater Final Temperature Node 2,
Water Heater Final Node 3 Temperature,Water Heater Final Temperature Node 3,
Water Heater Final Node 4 Temperature,Water Heater Final Temperature Node 4,
Water Heater Final Node 5 Temperature,Water Heater Final Temperature Node 5,
Water Heater Final Node 6 Temperature,Water Heater Final Temperature Node 6,
Water Heater Final Node 7 Temperature,Water Heater Final Temperature Node 7,
Water Heater Final Node 8 Temperature,Water Heater Final Temperature Node 8,
Water Heater Final Node 9 Temperature,Water Heater Final Temperature Node 9,
Water Heater FuelOil#1 Consumption,Water Heater FuelOil#1 Energy,
Water Heater FuelOil#1 Consumption Rate,Water Heater FuelOil#1 Rate,
Water Heater FuelOil#2 Consumption,Water Heater FuelOil#2 Energy,
Water Heater FuelOil#2 Consumption Rate,Water Heater FuelOil#2 Rate,
Water Heater Gas Consumption,Water Heater Gas Energy,
Water Heater Gas Consumption Rate,Water Heater Gas Rate,
Water Heater Gasoline Consumption,Water Heater Gasoline Energy,
Water Heater Gasoline Consumption Rate,Water Heater Gasoline Rate,
Water Heater Heating Energy 1,Water Heater Heater 1 Heating Energy,
Water Heater Heating Energy 2,Water Heater Heater 2 Heating Energy,
Water Heater Heating Rate 1,Water Heater Heater 1 Heating Rate,
Water Heater Heating Rate 2,Water Heater Heater 2 Heating Rate,
Water Heater Loss Energy,Water Heater Heat Loss Energy,
Water Heater Loss Rate,Water Heater Heat Loss Rate,
Water Heater Net Heat Tranfer Energy,Water Heater Net Heat Transfer Energy,
Water Heater Net Heat Tranfer Rate,Water Heater Net Heat Transfer Rate,
Water Heater Node 1 Temperature,Water Heater Temperature Node 1,
Water Heater Node 10 Temperature,Water Heater Temperature Node 10,
Water Heater Node 2 Temperature,Water Heater Temperature Node 2,
Water Heater Node 3 Temperature,Water Heater Temperature Node 3,
Water Heater Node 4 Temperature,Water Heater Temperature Node 4,
Water Heater Node 5 Temperature,Water Heater Temperature Node 5,
Water Heater Node 6 Temperature,Water Heater Temperature Node 6,
Water Heater Node 7 Temperature,Water Heater Temperature Node 7,
Water Heater Node 8 Temperature,Water Heater Temperature Node 8,
Water Heater Node 9 Temperature,Water Heater Temperature Node 9,
Water Heater Off-Cycle Parasitic Coal Consumption,Water Heater Off Cycle Parasitic Coal Energy,
Water Heater Off-Cycle Parasitic Coal Consumption Rate,Water Heater Off Cycle Parasitic Coal Rate,
Water Heater Off-Cycle Parasitic Diesel Consumption,Water Heater Off Cycle Parasitic Diesel Energy,
Water Heater Off-Cycle Parasitic Diesel Consumption Rate,Water Heater Off Cycle Parasitic Diesel Rate,
Water Heater Off-Cycle Parasitic DistrictHeating Consumption,Water Heater Off Cycle Parasitic District Heating Energy,
Water Heater Off-Cycle Parasitic DistrictHeating Consumption Rate,Water Heater Off Cycle Parasitic District Heating Rate,
Water Heater Off-Cycle Parasitic Electric Consumption,Water Heater Off Cycle Parasitic Electric Energy,
Water Heater Off-Cycle Parasitic Electric Consumption Rate,Water Heater Off Cycle Parasitic Electric Power,
Water Heater Off-Cycle Parasitic FuelOil#1 Consumption,Water Heater Off Cycle Parasitic FuelOil#1 Energy,
Water Heater Off-Cycle Parasitic FuelOil#1 Consumption Rate,Water Heater Off Cycle Parasitic FuelOil#1 Rate,
Water Heater Off-Cycle Parasitic FuelOil#2 Consumption,Water Heater Off Cycle Parasitic FuelOil#2 Energy,
Water Heater Off-Cycle Parasitic FuelOil#2 Consumption Rate,Water Heater Off Cycle Parasitic FuelOil#2 Rate,
Water Heater Off-Cycle Parasitic Gas Consumption,Water Heater Off Cycle Parasitic Gas Energy,
Water Heater Off-Cycle Parasitic Gas Consumption Rate,Water Heater Off Cycle Parasitic Gas Rate,
Water Heater Off-Cycle Parasitic Gasoline Consumption,Water Heater Off Cycle Parasitic Gasoline Energy,
Water Heater Off-Cycle Parasitic Gasoline Consumption Rate,Water Heater Off Cycle Parasitic Gasoline Rate,
Water Heater Off-Cycle Parasitic Heat Energy To Tank,Water Heater Off Cycle Parasitic Tank Heat Transfer Energy,
Water Heater Off-Cycle Parasitic Heat Rate To Tank,Water Heater Off Cycle Parasitic Tank Heat Transfer Rate,
Water Heater Off-Cycle Parasitic Propane Consumption,Water Heater Off Cycle Parasitic Propane Energy, 
Water Heater Off-Cycle Parasitic Propane Consumption Rate,Water Heater Off Cycle Parasitic Propane Rate,
Water Heater Off-Cycle Parasitic Steam Consumption,Water Heater Off Cycle Parasitic Steam Energy,
Water Heater Off-Cycle Parasitic Steam Consumption Rate,Water Heater Off Cycle Parasitic Steam Rate,
Water Heater On-Cycle Parasitic Coal Consumption,Water Heater On Cycle Parasitic Coal Energy,
Water Heater On-Cycle Parasitic Coal Consumption Rate,Water Heater On Cycle Parasitic Coal Rate,
Water Heater On-Cycle Parasitic Diesel Consumption,Water Heater On Cycle Parasitic Diesel Energy,
Water Heater On-Cycle Parasitic Diesel Consumption Rate,Water Heater On Cycle Parasitic Diesel Rate,
Water Heater On-Cycle Parasitic DistrictHeating Consumption,Water Heater On Cycle Parasitic District Heating Energy,
Water Heater On-Cycle Parasitic DistrictHeating Consumption Rate,Water Heater On Cycle Parasitic District Heating Rate,
Water Heater On-Cycle Parasitic Electric Consumption,Water Heater On Cycle Parasitic Electric Energy,
Water Heater On-Cycle Parasitic Electric Consumption Rate,Water Heater On Cycle Parasitic Electric Power,
Water Heater On-Cycle Parasitic FuelOil#1 Consumption,Water Heater On Cycle Parasitic FuelOil#1 Energy,
Water Heater On-Cycle Parasitic FuelOil#1 Consumption Rate,Water Heater On Cycle Parasitic FuelOil#1 Rate,
Water Heater On-Cycle Parasitic FuelOil#2 Consumption,Water Heater On Cycle Parasitic FuelOil#2 Energy,
Water Heater On-Cycle Parasitic FuelOil#2 Consumption Rate,Water Heater On Cycle Parasitic FuelOil#2 Rate,
Water Heater On-Cycle Parasitic Gas Consumption,Water Heater On Cycle Parasitic Gas Energy,
Water Heater On-Cycle Parasitic Gas Consumption Rate,Water Heater On Cycle Parasitic Gas Rate,
Water Heater On-Cycle Parasitic Gasoline Consumption,Water Heater On Cycle Parasitic Gasoline Energy,
Water Heater On-Cycle Parasitic Gasoline Consumption Rate,Water Heater On Cycle Parasitic Gasoline Rate,
Water Heater On-Cycle Parasitic Heat Energy To Tank,Water Heater On Cycle Parasitic Tank Heat Transfer Energy,
Water Heater On-Cycle Parasitic Heat Rate To Tank,Water Heater On Cycle Parasitic Tank Heat Transfer Rate,
Water Heater On-Cycle Parasitic Propane Consumption,Water Heater On Cycle Parasitic Propane Energy,
Water Heater On-Cycle Parasitic Propane Consumption Rate,Water Heater On Cycle Parasitic Propane Rate,
Water Heater On-Cycle Parasitic Steam Consumption,Water Heater On Cycle Parasitic Steam Energy,
Water Heater On-Cycle Parasitic Steam Consumption Rate,Water Heater On Cycle Parasitic Steam Rate,
Water Heater Plant Hot Water Consumption,Water Heater Source Side Heat Transfer Energy,
Water Heater Propane Consumption,Water Heater Propane Energy,
Water Heater Propane Consumption Rate,Water Heater Propane Rate,
Water Heater Runtime Fraction 1,Water Heater Heater 1 Runtime Fraction,
Water Heater Runtime Fraction 2,Water Heater Heater 2 Runtime Fraction,
Water Heater Source Energy,Water Heater Source Side Heat Transfer Energy,
Water Heater Source Flow Rate,Water Heater Source Side Mass Flow Rate,
Water Heater Source Inlet Temperature,Water Heater Source Side Inlet Temperature,
Water Heater Source Outlet Temperature,Water Heater Source Side Outlet Temperature,
Water Heater Source Rate,Water Heater Source Side Heat Transfer Rate,
Water Heater Steam Consumption,Water Heater Steam Energy,
Water Heater Steam Consumption Rate,Water Heater Steam Rate,
Water Heater Total Demand Energy,Water Heater Total Demand Heat Transfer Energy,
Water Heater Total Demand Rate,Water Heater Total Demand Heat Transfer Rate,
Water Heater Unmet Demand Energy,Water Heater Unmet Demand Heat Transfer Energy,
Water Heater Unmet Demand Rate,Water Heater Unmet Demand Heat Transfer Rate,
Water Heater Use Energy,Water Heater Use Side Heat Transfer Energy,
Water Heater Use Flow Rate,Water Heater Use Side Mass Flow Rate,
Water Heater Use Inlet Temperature,Water Heater Use Side Inlet Temperature,
Water Heater Use Outlet Temperature,Water Heater Use Side Outlet Temperature,
Water Heater Use Rate,Water Heater Use Side Heat Transfer Rate,
Water Heater Venting Energy,Water Heater Venting Heat Transfer Energy,
Water Heater Venting Rate,Water Heater Venting Heat Transfer Rate,
Water Heater Water Consumption,Water Heater Water Volume,
Water Heater Water Consumption Rate,Water Heater Water Volume Flow Rate,
Water Heating Coil Hot Water Consumption,Heating Coil Source Side Heat Transfer Energy,
Water Heating Coil U-Factor Times Area Value,Heating Coil U Factor Times Area Value,
Water Mains Temperature,Site Mains Water Temperature,
Water Use Connections Cold Water Consumption,Water Use Connections Cold Water Volume,
Water Use Connections Cold Water Consumption Rate,Water Use Connections Cold Water Volume Flow Rate,
Water Use Connections Drain Mass Flow Rate,Water Use Connections Drain Water Mass Flow Rate,
Water Use Connections Hot Water Consumption,Water Use Connections Hot Water Volume,
Water Use Connections Hot Water Consumption Rate,Water Use Connections Hot Water Volume Flow Rate,
Water Use Connections Plant Hot Water Consumption,Water Use Connections Plant Hot Water Energy,
Water Use Connections Total Consumption,Water Use Connections Total Volume,
Water Use Connections Total Consumption Rate,Water Use Connections Total Volume Flow Rate,
Water Use Equipment Cold Water Consumption,Water Use Equipment Cold Water Volume,
Water Use Equipment Cold Water Consumption Rate,Water Use Equipment Cold Water Volume Flow Rate,
Water Use Equipment Hot Water Consumption,Water Use Equipment Hot Water Volume,
Water Use Equipment Hot Water Consumption Rate,Water Use Equipment Hot Water Volume Flow Rate,
Water Use Equipment Latent Heat Gain To Zone,Water Use Equipment Zone Latent Gain Energy,
Water Use Equipment Latent Heat Rate To Zone,Water Use Equipment Zone Latent Gain Rate,
Water Use Equipment Moisture Gain To Zone,Water Use Equipment Zone Moisture Gain Mass,
Water Use Equipment Moisture Rate To Zone,Water Use Equipment Zone Moisture Gain Mass Flow Rate,
Water Use Equipment Sensible Heat Gain To Zone,Water Use Equipment Zone Sensible Heat Gain Energy,
Water Use Equipment Sensible Heat Rate To Zone,Water Use Equipment Zone Sensible Heat Gain Rate,
Water Use Equipment Total Consumption,Water Use Equipment Total Volume,
Water Use Equipment Total Consumption Rate,Water Use Equipment Total Volume Flow Rate,
WatertoAirHP Air Mass Flow Rate,Cooling Coil Air Mass Flow Rate,
WatertoAirHP Air Mass Flow Rate,Heating Coil Air Mass Flow Rate,
WatertoAirHP Cooling Electric Consumption,Cooling Coil Electric Energy,
WatertoAirHP Duty Factor,Cooling Coil Runtime Fraction,
WatertoAirHP Duty Factor,Heating Coil Runtime Fraction,
WatertoAirHP Heating Electric Consumption,Heating Coil Electric Energy,
WatertoAirHP Load Side Inlet Dry Bulb Temperature,Cooling Coil Air Inlet Temperature,
WatertoAirHP Load Side Inlet Dry Bulb Temperature,Heating Coil Air Inlet Temperature,
WatertoAirHP Load Side Inlet Humidity Ratio,Cooling Coil Air Inlet Humidity Ratio,
WatertoAirHP Load Side Inlet Humidity Ratio,Heating Coil Air Inlet Humidity Ratio,
WatertoAirHP Load Side Latent Cooling Energy,Cooling Coil Latent Cooling Energy,
WatertoAirHP Load Side Latent Heat Transfer Rate,Cooling Coil Latent Cooling Rate,
WatertoAirHP Load Side Mass Flow Rate,Cooling Coil Air Mass Flow Rate,
WatertoAirHP Load Side Mass Flow Rate,Heating Coil Air Mass Flow Rate,
WatertoAirHP Load Side Outlet Dry Bulb Temperature,Cooling Coil Air Outlet Temperature,
WatertoAirHP Load Side Outlet Dry Bulb Temperature,Heating Coil Air Outlet Temperature,
WatertoAirHP Load Side Outlet Humidity Ratio,Cooling Coil Air Outlet Humidity Ratio,
WatertoAirHP Load Side Outlet Humidity Ratio,Heating Coil Air Outlet Humidity Ratio,
WatertoAirHP Load Side Sensible Cooling Energy,Cooling Coil Sensible Cooling Energy,
WatertoAirHP Load Side Sensible Heat Transfer Rate,Cooling Coil Sensible Cooling Rate,
WatertoAirHP Load Side Sensible Heat Transfer Rate,Heating Coil Sensible Heating Rate,
WatertoAirHP Load Side Total Cooling Energy,Cooling Coil Total Cooling Energy,
WatertoAirHP Load Side Total Heat Transfer Rate,Cooling Coil Total Cooling Rate,
WatertoAirHP Load Side Total Heat Transfer Rate,Heating Coil Heating Rate,
WatertoAirHP Load Side Total Heating Energy,Heating Coil Heating Energy,
WatertoAirHP Part Load Ratio,Cooling Coil Part Load Ratio,
WatertoAirHP Part Load Ratio,Heating Coil Part Load Ratio,
WatertoAirHP Power,Heating Coil Electric Power,
WatertoAirHP Power,Cooling Coil Electric Power,
WatertoAirHP Run Time Fraction,Cooling Coil Runtime Fraction,
WatertoAirHP Run Time Fraction,Heating Coil Runtime Fraction,
WatertoAirHP Source Side Cooling Energy,Cooling Coil Source Side Heat Transfer Energy,
WatertoAirHP Source Side Heat Transfer Rate,Cooling Coil Source Side Heat Transfer Rate,
WatertoAirHP Source Side Heat Transfer Rate,Heating Coil Source Side Heat Transfer Rate,
WatertoAirHP Source Side Heating Energy,Heating Coil Source Side Heat Transfer Energy,
WatertoAirHP Source Side Inlet Temperature,Cooling Coil Source Side Inlet Temperature,
WatertoAirHP Source Side Inlet Temperature,Heating Coil Source Side Inlet Temperature,
WatertoAirHP Source Side Mass Flow Rate,Cooling Coil Source Side Mass Flow Rate,
WatertoAirHP Source Side Mass Flow Rate,Heating Coil Source Side Mass Flow Rate,
WatertoAirHP Source Side Outlet Temperature,Cooling Coil Source Side Outlet Temperature,
WatertoAirHP Source Side Outlet Temperature,Heating Coil Source Side Outlet Temperature,
WatertoAirHP Water Mass Flow Rate,Cooling Coil Source Side Mass Flow Rate,
WatertoAirHP Water Mass Flow Rate,Heating Coil Source Side Mass Flow Rate,
Wind Direction,Site Wind Direction,
Wind Speed,Site Wind Speed,
Wind Turbine Ambient Air Density,Generator Turbine Local Air Density,
Wind Turbine Ambient Wind Speed,Generator Turbine Local Wind Speed,
Wind Turbine Angle of Attack,Generator Turbine Attack Angle,
Wind Turbine Chordal Velocity Component,Generator Turbine Chordal Component Velocity,
Wind Turbine Electric Energy Produced,Generator Produced Electric Energy,
Wind Turbine Electric Power Produced,Generator Produced Electric Power,
Wind Turbine Normal Velocity Component,Generator Turbine Normal Component Velocity,
Wind Turbine Power Coefficient,Generator Turbine Power Coefficient,
Wind Turbine Relative Flow Velocity,Generator Turbine Relative Flow Velocity,
Wind Turbine Tip Speed Ratio,Generator Turbine Tip Speed Ratio,
Window AC Compressor Part-Load Ratio,Zone Window Air Conditioner Compressor Part Load Ratio,
Window AC Electric Consumption,Zone Window Air Conditioner Electric Energy,
Window AC Electric Power,Zone Window Air Conditioner Electric Power,
Window AC Fan Availability Status,Zone Window Air Conditioner Fan Availability Status,
Window AC Fan Part-Load Ratio,Zone Window Air Conditioner Fan Part Load Ratio,
Window AC Latent Zone Cooling Energy,Zone Window Air Conditioner Latent Cooling Energy,
Window AC Latent Zone Cooling Rate,Zone Window Air Conditioner Latent Cooling Rate,
Window AC Sensible Zone Cooling Energy,Zone Window Air Conditioner Sensible Cooling Energy,
Window AC Sensible Zone Cooling Rate,Zone Window Air Conditioner Sensible Cooling Rate,
Window AC Total Zone Cooling Energy,Zone Window Air Conditioner Total Cooling Energy,
Window AC Total Zone Cooling Rate,Zone Window Air Conditioner Total Cooling Rate,
Window Blind Slat Angle,Surface Window Blind Slat Angle,
Window Calculation Iterations,Surface Window Model Solver Iteration Count,
Window Convection Heat Gain from Gap between Shade and Glazing to Zone,Surface Window Inside Face Gap between Shade and Glazing Zone Convection Heat Gain Rate,
Window Convection Heat Gain from Glazing to Zone,Surface Window Inside Face Glazing Zone Convection Heat Gain Rate,
Window Convection Heat Gain from Shade to Zone,Surface Window Inside Face Shade Zone Convection Heat Gain Rate,
Window Divider Heat Gain,Surface Window Divider Heat Gain Rate,
Window Divider Heat Loss,Surface Window Divider Heat Loss Rate,
Window Divider Inside Temperature,Surface Window Divider Inside Temperature,
Window Divider Outside Temperature,Surface Window Divider Outside Temperature,
Window Frame Heat Gain,Surface Window Frame Heat Gain Rate,
Window Frame Heat Loss,Surface Window Frame Heat Loss Rate,
Window Frame Inside Temperature,Surface Window Frame Inside Temperature,
Window Frame Outside Temperature,Surface Window Frame Outside Temperature,
Window Gap Convective Heat Flow,Surface Window Gap Convective Heat Transfer Rate,
Window Gap Convective Heat Flow Energy,Surface Window Gap Convective Heat Transfer Energy,
Window Heat Gain,Surface Window Heat Gain Rate,
Window Heat Gain Energy,Surface Window Heat Gain Energy,
Window Heat Gain from Frame and Divider to Zone,Surface Window Inside Face Frame and Divider Zone Heat Gain Rate,
Window Heat Loss,Surface Window Heat Loss Rate,
Window Heat Loss Energy,Surface Window Heat Loss Energy,
Window Net Infrared Heat Gain from Glazing to Zone,Surface Window Inside Face Glazing Net Infrared Heat Transfer Rate,
Window Net Infrared Heat Gain from Shade to Zone,Surface Window Inside Face Shade Net Infrared Heat Transfer Rate,
Window Shortwave Heat Loss from Zone Back Out Window,Surface Window Shortwave from Zone Back Out Window Heat Transfer Rate,
Window Solar Absorbed:All Glass Layers,Surface Window Total Glazing Layers Absorbed Solar Radiation Rate,
Window Solar Absorbed:All Glass Layers Energy,Surface Window Total Glazing Layers Absorbed Solar Radiation Energy,
Window Solar Absorbed:Shading Device,Surface Window Shading Device Absorbed Solar Radiation Rate,
Window Solar Absorbed:Shading Device Energy,Surface Window Shading Device Absorbed Solar Radiation Energy,
Window System Solar Absorptance,Surface Window System Solar Absorptance,
Window System Solar Reflectance,Surface Window System Solar Reflectance,
Window System Solar Transmittance,Surface Window System Solar Transmittance,
Window Thermochromic Layer Specification Temperature,Surface Window Thermochromic Layer Property Specification Temperature,
Window Thermochromic Layer Temperature,Surface Window Thermochromic Layer Temperature,
Window Transmitted Beam Solar,Surface Window Transmitted Beam Solar Radiation Rate,
Window Transmitted Beam Solar Energy,Surface Window Transmitted Beam Solar Radiation Energy,
Window Transmitted Beam-to-Beam Solar,Surface Window Transmitted Beam To Beam Solar Radiation Rate,
Window Transmitted Beam-to-Beam Solar Energy,Surface Window Transmitted Beam To Beam Solar Radiation Energy,
Window Transmitted Beam-to-Diffuse Solar,Surface Window Transmitted Beam To Diffuse Solar Radiation Rate,
Window Transmitted Beam-to-Diffuse Solar Energy,Surface Window Transmitted Beam To Diffuse Solar Radiation Energy,
Window Transmitted Diffuse Solar,Surface Window Transmitted Diffuse Solar Radiation Rate,
Window Transmitted Diffuse Solar Energy,Surface Window Transmitted Diffuse Solar Radiation Energy,
Window Transmitted Solar,Surface Window Transmitted Solar Radiation Rate,
Window Transmitted Solar Energy,Surface Window Transmitted Solar Radiation Energy,
Window/Door Venting Opening Factor,AFN Surface Venting Window or Door Opening Factor,
Zone Air Balance Air Energy Storage Rate,Zone Air Heat Balance Air Energy Storage Rate,
Zone Air Balance Deviation Rate,Zone Air Heat Balance Deviation Rate,
Zone Air Balance Internal Convective Gains Rate,Zone Air Heat Balance Internal Convective Heat Gain Rate,
Zone Air Balance Interzone Air Transfer Rate,Zone Air Heat Balance Interzone Air Transfer Rate,
Zone Air Balance Outdoor Air Transfer Rate,Zone Air Heat Balance Outdoor Air Transfer Rate,
Zone Air Balance Surface Convection Rate,Zone Air Heat Balance Surface Convection Rate,
Zone Air Balance System Air Transfer Rate,Zone Air Heat Balance System Air Transfer Rate,
Zone Air Balance System Convective Gains Rate,Zone Air Heat Balance System Convective Heat Gain Rate,
Zone Air Carbon Dioxide Concentration,Zone Air CO2 Concentration,
Zone Air Generic Contaminant Concentration,Zone Air Generic Air Contaminant Concentration,
Zone Baseboard Heat Convective Heat Gain,Zone Baseboard Convective Heating Energy,
Zone Baseboard Heat Convective Heat Gain Rate,Zone Baseboard Convective Heating Rate,
Zone Baseboard Heat Electric Consumption,Zone Baseboard Electric Energy,
Zone Baseboard Heat Electric Power,Zone Baseboard Electric Power,
Zone Baseboard Heat Radiant Heat Gain,Zone Baseboard Radiant Heating Energy,
Zone Baseboard Heat Radiant Heat Gain Rate,Zone Baseboard Radiant Heating Rate,
Zone Baseboard Heat Total Heat Gain,Zone Baseboard Total Heating Energy,
Zone Baseboard Heat Total Heat Gain Rate,Zone Baseboard Total Heating Rate,
Zone Beam Solar from Exterior Windows,Zone Exterior Windows Total Transmitted Beam Solar Radiation Rate,
Zone Beam Solar from Exterior Windows Energy,Zone Exterior Windows Total Transmitted Beam Solar Radiation Energy,
Zone Beam Solar from Interior Windows,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate,
Zone Beam Solar from Interior Windows Energy,Zone Interior Windows Total Transmitted Beam Solar Radiation Energy,
Zone Carbon Dioxide Internal Gain,Zone Air CO2 Internal Gain Volume Flow Rate,
Zone Chillers Heating Energy,Refrigeration Zone Air Chiller Heating Energy,
Zone Chillers Heating Rate,Refrigeration Zone Air Chiller Heating Rate,
Zone Chillers Latent Cooling Energy,Refrigeration Zone Air Chiller Latent Cooling Energy,
Zone Chillers Latent Cooling Rate,Refrigeration Zone Air Chiller Latent Cooling Rate,
Zone Chillers Sensible Cooling Energy,Refrigeration Zone Air Chiller Sensible Cooling Energy,
Zone Chillers Sensible Cooling Rate,Refrigeration Zone Air Chiller Sensible Cooling Rate,
Zone Chillers Sensible Heat Transfer Energy,Refrigeration Zone Air Chiller Sensible Heat Transfer Energy,
Zone Chillers Sensible Heat Transfer Rate,Refrigeration Zone Air Chiller Sensible Heat Transfer Rate,
Zone Chillers Total Cooling Energy,Refrigeration Zone Air Chiller Total Cooling Energy,
Zone Chillers Total Cooling Rate,Refrigeration Zone Air Chiller Total Cooling Rate,
Zone Chillers Water Removed From Zone Air Rate,Refrigeration Zone Air Chiller Water Removed Mass Flow Rate,
Zone CO2 Source and Sink Rate,Zone Contaminant Source or Sink CO2 Gain Volume Flow Rate,
Zone Dehumidifier Condensate Volumetric Flow Rate,Zone Dehumidifier Condensate Volume Flow Rate,
Zone Dehumidifier Electric Consumption,Zone Dehumidifier Electric Energy,
Zone Dehumidifier Off-Cycle Parasitic Electric Consumption,Zone Dehumidifier Off Cycle Parasitic Electric Energy,
Zone Dehumidifier Off-Cycle Parasitic Electric Power,Zone Dehumidifier Off Cycle Parasitic Electric Power,
Zone Dehumidifier Part-Load Ratio,Zone Dehumidifier Part Load Ratio,
Zone Dehumidifier Water Removal Rate,Zone Dehumidifier Removed Water Mass Flow Rate,
Zone Dehumidifier Water Removed,Zone Dehumidifier Removed Water Mass,
Zone Diff Solar from Exterior Windows,Zone Exterior Windows Total Transmitted Diffuse Solar Radiation Rate,
Zone Diff Solar from Exterior Windows Energy,Zone Exterior Windows Total Transmitted Diffuse Solar Radiation Energy,
Zone Diff Solar from Interior Windows,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate,
Zone Diff Solar from Interior Windows Energy,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Energy,
